####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL H (BUGLI ET AL. 2020,2021)
####### B0=0 G, l=-, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.4942229e+53 4e+47 2.4e+47 11.228542 6.15941 0.894889 143.94453 50.642007 1.046467
0.002 1.1040844999999999e+53 1.42133e+51 9.4248e+50 11.207067 10.447968 2.817478 144.215639 126.591174 9.507848
0.003 5.7955866999999995e+53 7.06161e+51 1.039294e+52 14.611534 13.875221 4.789804 243.466356 223.53897 29.502797
0.004 6.272958e+53 4.60836e+51 9.82269e+51 14.118167 12.328441 6.269649 226.34377 177.934677 58.587917
0.005 4.0839186e+53 6.36814e+51 8.18142e+51 12.933673 11.962533 6.113421 190.718666 164.472753 57.00458
0.006 4.3958897e+53 8.452929999999999e+51 8.69799e+51 13.019053 11.787811 5.309914 191.701679 160.089802 40.820831
0.007 3.5291286e+53 9.82485e+51 1.172005e+52 12.557167 11.269987 4.650055 180.931062 147.145827 29.12916
0.008 4.2753575e+53 9.36129e+51 1.702197e+52 12.872743 10.922895 4.537999 188.552023 140.539808 26.719278
0.009 4.1862456000000005e+53 8.9139e+51 2.0948739999999998e+52 12.71669 10.973265 4.448681 185.69724 140.984322 25.420458
0.01 4.169618e+53 9.95951e+51 2.088174e+52 12.629039 11.671256 4.436257 184.654857 157.823382 25.154373
0.011 2.7736025999999998e+53 8.39091e+51 1.776372e+52 11.766999 11.907759 4.483596 162.828003 163.13691 25.792186
0.012 2.2982644e+53 7.27545e+51 1.4178740000000002e+52 11.674513 11.145069 4.35239 158.609203 146.598393 24.465148
0.013 1.5342658999999998e+53 7.97791e+51 1.371756e+52 10.479093 10.640212 4.12703 131.423709 133.552325 22.275275
0.014 1.2058013000000001e+53 9.83568e+51 1.635627e+52 9.704574 10.767614 4.150973 112.094056 135.250108 22.248163
0.015 1.2873735e+53 1.3952869999999998e+52 1.780664e+52 9.895644 11.58497 4.284945 116.036887 158.911348 23.826505
0.016 1.5739222e+53 1.274718e+52 1.757405e+52 10.900927 11.37331 4.245433 139.822038 152.66165 23.567296
0.017 1.1785835e+53 1.496402e+52 1.9219040000000001e+52 10.442457 11.359595 4.192139 131.19888 153.338758 23.059788
0.018 1.6401430000000001e+53 1.84097e+52 2.3825530000000002e+52 11.167651 11.691851 4.306445 146.075303 162.021055 23.807089
0.019 2.1830929e+53 1.950365e+52 2.6541610000000003e+52 11.49174 11.538864 4.292293 154.5958 157.131167 23.389412
0.02 2.5894751e+53 2.048022e+52 2.744933e+52 10.960943 11.61943 4.306214 137.464477 158.895032 23.404874
0.021 1.8510611999999998e+53 2.0950419999999997e+52 2.721153e+52 10.621802 11.407379 4.311809 133.111505 151.408822 23.41788
0.022 2.1349475000000003e+53 2.127094e+52 2.6092749999999996e+52 10.573607 11.539892 4.281302 129.699379 153.940139 23.134948
0.023 1.1972728e+53 2.08621e+52 2.3994409999999997e+52 10.349136 11.483919 4.34947 127.32377 153.130035 23.986133
0.024 1.0184179999999999e+53 2.1237889999999999e+52 2.211244e+52 10.015692 11.487103 4.239137 122.045477 152.939836 23.015169
0.025 9.260007e+52 2.2917740000000003e+52 2.1679750000000003e+52 9.860517 11.631128 4.173435 117.473588 156.527927 22.405144
0.026 8.244996e+52 2.551384e+52 2.249327e+52 9.52822 11.622338 4.103699 109.982361 156.205987 21.678373
0.027 8.752243999999999e+52 2.734903e+52 2.355868e+52 9.513011 11.799372 4.076293 110.496657 161.420345 21.281621
0.028 8.594334e+52 2.902547e+52 2.505516e+52 9.364164 11.755357 4.063153 105.977982 159.868713 21.045083
0.029 9.207143999999999e+52 3.08233e+52 2.657046e+52 9.29398 11.832017 4.064751 107.545214 162.304745 21.010534
0.03 8.922693000000001e+52 3.310878e+52 2.749705e+52 9.228377 11.968292 4.097723 104.810806 166.205202 21.327411
0.031 1.0003588e+53 3.231061e+52 2.7555809999999996e+52 9.410675 11.893345 4.10507 107.853106 164.221095 21.387328
0.032 1.0301372e+53 3.274872e+52 2.738389e+52 9.418404 11.865111 4.081769 108.576933 163.481427 21.213688
0.033 8.057104e+52 3.239718e+52 2.6890170000000005e+52 9.04061 11.845539 4.079645 99.714021 163.190007 21.261652
0.034 8.534316999999999e+52 3.3102279999999997e+52 2.693408e+52 9.022153 11.882456 4.067966 100.276883 164.374048 21.109649
0.035 8.407462e+52 3.381037e+52 2.7171400000000003e+52 9.108065 11.929818 4.055386 103.285363 165.53946 20.97351
0.036 8.36028e+52 3.4898039999999997e+52 2.774706e+52 9.211478 12.002729 4.063042 102.61624 167.526992 21.066624
0.037 8.642932e+52 3.568384e+52 2.8142160000000003e+52 9.334651 12.056196 4.078596 104.926115 169.006495 21.197583
0.038 8.556903e+52 3.608512e+52 2.844765e+52 9.410489 12.138657 4.098814 107.64915 171.505824 21.358681
0.039 8.469597999999999e+52 3.634725e+52 2.884776e+52 9.432899 12.174295 4.119066 107.328391 172.78525 21.591673
0.04 8.612669e+52 3.626569e+52 2.90258e+52 9.454438 12.229457 4.141568 107.596059 174.219852 21.809217
0.041 8.115137e+52 3.568991e+52 2.9015569999999997e+52 9.398148 12.165287 4.151099 106.292175 172.445493 21.906992
0.042 8.221649e+52 3.567233e+52 2.8974959999999997e+52 9.364549 12.124288 4.151626 105.486179 171.241774 21.977838
0.043 8.226072e+52 3.630732e+52 2.9558179999999997e+52 9.299814 12.017355 4.132479 104.407511 168.35976 21.820288
0.044 9.410384999999999e+52 3.878831e+52 3.0271340000000004e+52 9.399896 12.210258 4.162578 105.937344 173.693778 22.052966
0.045 8.602551e+52 4.0392919999999995e+52 3.0274869999999997e+52 9.322288 12.150731 4.118286 105.012973 171.220819 21.6025
0.046 9.091051999999999e+52 4.152058e+52 3.1155879999999997e+52 9.345473 12.20868 4.155335 105.419872 173.513462 21.992057
0.047 9.55214e+52 4.5674539999999997e+52 3.1660349999999997e+52 9.334281 12.290168 4.100185 106.155951 174.723867 21.242247
0.048 8.653057e+52 4.532676e+52 3.086359e+52 9.401543 12.248212 4.107044 106.986983 173.720547 21.459709
0.049 8.564561e+52 4.872092000000001e+52 3.225166e+52 9.244273 12.368874 4.134723 103.517591 177.44793 21.713603
0.05 7.781003e+52 4.872130000000001e+52 3.110026e+52 9.177303 12.407385 4.078749 102.568119 177.991343 21.004369
0.051 7.358416e+52 4.975503e+52 3.055485e+52 9.169248 12.279484 4.044114 102.313063 174.97356 20.805796
0.052 6.982904e+52 5.109205000000001e+52 3.089758e+52 9.031845 12.464768 4.055247 99.398319 179.940382 20.871337
0.053 6.585411e+52 5.144379999999999e+52 3.049926e+52 8.913248 12.432745 4.025381 99.039264 179.511993 20.55524
0.054 6.300322e+52 5.228825e+52 3.054085e+52 8.78877 12.383117 4.001691 94.861158 177.900107 20.318901
0.055 6.266846e+52 5.222138e+52 3.037595e+52 8.734675 12.415104 3.982514 93.686787 178.970083 20.029965
0.056 6.011935e+52 5.244442000000001e+52 3.02939e+52 8.63484 12.36497 3.959682 91.799434 177.709581 19.865177
0.057 5.910272e+52 5.320399e+52 3.012675e+52 8.637509 12.331286 3.942364 91.877285 176.750433 19.664688
0.058 6.100091e+52 5.307056e+52 3.035129e+52 8.631122 12.385179 3.952188 91.664394 178.456036 19.697148
0.059 6.090335e+52 5.388988e+52 3.096081e+52 8.576342 12.419142 3.979725 90.588692 179.518227 19.99206
0.06 5.804089e+52 5.45905e+52 3.1143999999999997e+52 8.574358 12.410458 3.970247 90.715816 179.315547 19.91845
0.061 5.803322e+52 5.436974e+52 3.148581e+52 8.599817 12.40181 3.965806 91.338494 179.155023 19.884336
0.062 5.953131e+52 5.400772e+52 3.164491e+52 8.674983 12.442025 3.966164 93.04934 180.45719 19.914673
0.063 6.096492e+52 5.379054e+52 3.2180240000000003e+52 8.740477 12.476811 4.002333 94.412589 181.327731 20.241507
0.064 6.162663e+52 5.362656e+52 3.201068e+52 8.823743 12.520241 4.017441 96.418442 182.72738 20.436164
0.065 6.245162999999999e+52 5.460005e+52 3.177902e+52 8.868217 12.52273 4.018695 97.234182 182.600805 20.462225
0.066 6.297542e+52 5.711065999999999e+52 3.279735e+52 8.973371 12.627292 4.049825 99.475022 186.001006 20.801424
0.067 6.713756e+52 5.937705e+52 3.355286e+52 9.120238 12.724714 4.065057 102.685223 189.212074 20.994077
0.068 6.843631e+52 6.148902e+52 3.395919e+52 9.196173 12.813565 4.072265 104.439096 191.916177 21.08282
0.069 6.809184e+52 5.878175999999999e+52 3.32863e+52 9.222129 12.753287 4.05711 104.899963 190.534406 20.973598
0.07 7.073560999999999e+52 5.92922e+52 3.3425379999999997e+52 9.31168 12.785902 4.073542 106.973688 191.049845 21.086053
0.071 7.144433000000001e+52 6.007758e+52 3.305812e+52 9.318902 12.808762 4.047007 107.015273 191.672776 20.775922
0.072 6.957998e+52 5.958881e+52 3.317651e+52 9.273906 12.781265 4.037896 105.577345 191.197948 20.745894
0.073 6.994894e+52 5.979288e+52 3.360502e+52 9.283847 12.747422 4.057462 105.634302 190.204221 20.984242
0.074 7.110114000000001e+52 5.959068e+52 3.325239e+52 9.281147 12.806835 4.087544 105.423793 191.496002 21.231481
0.075 6.713408e+52 6.038963e+52 3.255674e+52 9.181433 12.826575 4.058776 103.64662 191.643482 20.898314
0.076 6.630532e+52 5.817985e+52 3.2161770000000003e+52 9.177714 12.758813 4.041024 103.371801 190.175908 20.833921
0.077 6.782436999999999e+52 5.937739999999999e+52 3.263436e+52 9.275204 12.860398 4.070436 105.563515 192.983913 21.170893
0.078 6.994989e+52 5.946299999999999e+52 3.2371819999999995e+52 9.272878 12.863095 4.071157 105.368952 192.963618 21.114703
0.079 7.115126e+52 6.185483e+52 3.285096e+52 9.271859 12.96208 4.072858 105.263563 195.339559 21.083037
0.08 7.166566999999999e+52 6.135061999999999e+52 3.296747e+52 9.263476 12.890921 4.05002 108.772192 193.467058 20.853495
0.081 7.497054999999999e+52 6.168166e+52 3.325625e+52 9.331226 12.961915 4.061537 112.754813 195.976136 20.994912
0.082 7.561028e+52 6.438133e+52 3.399943e+52 9.333104 13.057535 4.093188 107.371194 198.531794 21.251793
0.083 7.532238999999999e+52 6.394104e+52 3.3435519999999996e+52 9.299326 13.033379 4.078249 105.883232 197.785293 21.117765
0.084 7.778418e+52 6.553243e+52 3.396038e+52 9.294059 12.997391 4.059361 105.822723 196.74886 20.915453
0.085 7.619125e+52 6.687042e+52 3.507704e+52 9.358349 13.057804 4.088874 107.426528 198.979951 21.259346
0.086 7.675083e+52 6.59703e+52 3.434498e+52 9.40108 13.027343 4.063265 110.023002 198.240226 20.958783
0.087 8.017856e+52 6.814809e+52 3.480934e+52 9.423099 13.100234 4.084364 112.055145 200.112786 21.133781
0.088 8.064529e+52 6.936944999999999e+52 3.490772e+52 9.384821 13.082165 4.078835 108.351796 199.464607 21.051089
0.089 7.672905e+52 7.069018e+52 3.469213e+52 9.330113 12.987782 4.044864 106.887973 196.533146 20.693106
0.09 7.628426e+52 7.076682e+52 3.501033e+52 9.353194 12.96691 4.050196 107.54891 196.26589 20.775907
0.091 7.597557e+52 7.128167999999999e+52 3.53278e+52 9.407486 13.054308 4.080894 109.94928 199.149623 21.110283
0.092 7.634530999999999e+52 7.275697e+52 3.536484e+52 9.432506 13.096866 4.094158 110.987854 200.371353 21.209758
0.093 7.850682e+52 7.418988e+52 3.613862e+52 9.547678 13.111038 4.103512 122.623511 200.900663 21.295091
0.094 7.399108e+52 7.309725000000001e+52 3.52567e+52 9.458142 12.996377 4.057142 113.235313 197.432981 20.818293
0.095 7.334491e+52 7.304099e+52 3.51834e+52 9.518039 13.009652 4.054885 114.998078 197.872847 20.795528
0.096 7.35459e+52 7.234307e+52 3.489462e+52 9.555403 13.018336 4.059325 115.964377 198.11132 20.81856
0.097 7.177053e+52 7.24127e+52 3.489124e+52 9.599272 13.054549 4.076345 118.940854 199.275921 21.014639
0.098 7.137368e+52 7.211447e+52 3.442511e+52 9.540599 13.034437 4.064406 112.352305 198.900696 20.936542
0.099 7.198432e+52 7.354631e+52 3.4705710000000003e+52 9.577064 13.015482 4.057288 113.176236 198.265235 20.846624
0.1 7.155749e+52 7.388179e+52 3.455248e+52 9.656816 13.028983 4.052287 115.28472 198.60172 20.764633
0.101 7.108458999999999e+52 7.462173e+52 3.447366e+52 9.740274 13.069427 4.058226 117.103121 199.858069 20.854151
0.102 7.045858e+52 7.435655999999999e+52 3.423635e+52 9.723052 13.023771 4.055516 117.012371 198.736211 20.885289
0.103 7.100961e+52 7.439138e+52 3.408203e+52 9.753744 13.080081 4.076578 117.746752 200.487652 21.105725
0.104 7.021468e+52 7.480812e+52 3.389808e+52 9.794874 13.11439 4.070989 119.499562 201.4055 21.034999
0.105 7.072043e+52 7.420334000000001e+52 3.4308350000000003e+52 9.826568 13.129534 4.070751 119.637567 202.281808 21.0747
0.106 7.240083e+52 7.398887e+52 3.445612e+52 9.888208 13.164403 4.071623 122.46157 203.471255 21.095607
0.107 7.232604e+52 7.349871e+52 3.417037e+52 9.884289 13.196625 4.070477 123.206398 204.352197 21.076003
0.108 7.364474999999999e+52 7.283505e+52 3.421844e+52 9.894275 13.252145 4.089584 123.414023 205.978356 21.31039
0.109 7.428349e+52 7.320998999999999e+52 3.4272390000000004e+52 9.931972 13.284963 4.098602 125.101458 206.697499 21.404652
0.11 7.50915e+52 7.386158e+52 3.4658229999999996e+52 9.981168 13.326326 4.102426 127.170305 207.918277 21.446388
0.111 7.737454e+52 7.465754e+52 3.503518e+52 9.997817 13.369659 4.104037 127.887816 209.181232 21.450053
0.112 7.900807e+52 7.533172e+52 3.536131e+52 9.97818 13.416032 4.119765 125.41067 210.570773 21.606945
0.113 7.987772e+52 7.595596999999999e+52 3.556007e+52 10.010641 13.409903 4.123044 127.031558 210.332483 21.620644
0.114 8.075139e+52 7.674813000000001e+52 3.594697e+52 10.06496 13.409214 4.129273 129.599033 210.37061 21.695041
0.115 8.123542e+52 7.694987000000001e+52 3.598085e+52 10.114302 13.424201 4.143303 133.631568 211.134613 21.88467
0.116 8.237545000000001e+52 7.850221999999999e+52 3.612785e+52 10.140605 13.491924 4.165115 130.060913 213.203964 22.097797
0.117 8.226185e+52 7.989093e+52 3.6100940000000004e+52 10.19598 13.513091 4.160029 129.027087 213.700092 21.996601
0.118 8.247075000000001e+52 7.997711e+52 3.5917900000000003e+52 10.209565 13.504998 4.14378 128.183531 213.412307 21.818397
0.119 8.313985e+52 7.936509e+52 3.59462e+52 10.1972 13.518123 4.147029 127.470131 214.089696 21.908346
0.12 8.449994e+52 8.034138999999999e+52 3.6137959999999995e+52 10.297971 13.616855 4.175587 135.123082 217.095816 22.205538
0.121 8.535836e+52 8.130494e+52 3.622666e+52 10.251371 13.595776 4.170054 128.766812 216.28875 22.119207
0.122 8.505127e+52 8.24503e+52 3.640676e+52 10.308023 13.565841 4.165583 133.755884 215.299028 22.081747
0.123 8.549738e+52 8.232611e+52 3.65823e+52 10.286083 13.529528 4.160929 133.563622 214.286074 22.02322
0.124 8.500344e+52 8.242948e+52 3.659355e+52 10.276117 13.528673 4.161649 131.82754 214.409537 21.998485
0.125 8.341479e+52 8.107504000000001e+52 3.5872099999999996e+52 10.245568 13.472775 4.128803 132.513124 212.734246 21.67504
0.126 8.364555e+52 8.293593e+52 3.6923539999999997e+52 10.293095 13.533851 4.160131 133.365651 214.715759 22.034715
0.127 8.359824e+52 8.324985e+52 3.697779e+52 10.339084 13.564363 4.174079 135.001026 215.847331 22.184587
0.128 8.321362e+52 8.436926e+52 3.719036e+52 10.345284 13.533635 4.172778 134.895619 214.898696 22.137377
0.129 8.138488e+52 8.305479999999999e+52 3.685218e+52 10.271062 13.468315 4.162752 130.887537 213.010201 22.055519
0.13 8.080622e+52 8.327915000000001e+52 3.696293e+52 10.327227 13.447469 4.162247 135.107393 212.296938 22.058904
0.131 7.914093e+52 8.293241e+52 3.645644e+52 10.350691 13.411287 4.150385 133.767294 211.155828 21.955183
0.132 7.854759e+52 8.419041e+52 3.661343e+52 10.44788 13.442977 4.158355 136.565342 212.090038 22.019696
0.133 7.89399e+52 8.518634999999999e+52 3.651333e+52 10.552535 13.473321 4.162587 139.538504 213.117014 22.082687
0.134 7.835978e+52 8.541577e+52 3.62649e+52 10.534427 13.477626 4.163984 136.518092 213.363242 22.129342
0.135 7.721772e+52 8.487617e+52 3.655864e+52 10.558758 13.492135 4.166172 138.899721 214.019042 22.155431
0.136 7.716307e+52 8.320784e+52 3.604825e+52 10.557078 13.545855 4.155227 139.195055 215.769009 22.037025
0.137 7.79301e+52 8.305604e+52 3.661906e+52 10.588754 13.647724 4.183667 139.291044 219.132656 22.316839
0.138 7.83112e+52 8.108263e+52 3.590735e+52 10.612615 13.705689 4.179 140.113045 220.861867 22.264487
0.139 7.909265e+52 8.20369e+52 3.633295e+52 10.616307 13.793832 4.213589 138.495892 223.354529 22.629078
0.14 7.977111e+52 8.172617e+52 3.604868e+52 10.675997 13.821507 4.20622 142.087651 224.087433 22.537453
0.141 8.10031e+52 8.291670999999999e+52 3.624507e+52 10.687421 13.864361 4.223162 140.82438 225.169798 22.696422
0.142 8.224999e+52 8.417280999999999e+52 3.634647e+52 10.680709 13.847774 4.219695 140.498167 224.62745 22.639126
0.143 8.611157000000001e+52 8.640366e+52 3.712911e+52 10.684689 13.852927 4.216333 141.448412 224.996609 22.583424
0.144 8.812461000000001e+52 8.746722e+52 3.7939449999999996e+52 10.696144 13.882031 4.227174 142.141749 226.151602 22.6833
0.145 8.90917e+52 8.854373000000001e+52 3.84762e+52 10.704339 13.923458 4.231833 142.884849 227.439165 22.706667
0.146 8.857162999999999e+52 8.81275e+52 3.855154e+52 10.707239 13.947863 4.228172 142.590907 228.176946 22.703321
0.147 8.835442e+52 8.673180999999999e+52 3.851661e+52 10.779876 13.96905 4.238376 148.55844 228.861895 22.843209
0.148 9.011077e+52 8.795201000000001e+52 3.850966e+52 10.807271 14.004372 4.25177 147.280982 229.942574 23.00166
0.149 9.040047e+52 8.889512e+52 3.862973e+52 10.77503 13.947373 4.251731 142.990855 228.285489 22.987693
0.15 9.079924999999999e+52 8.991944e+52 3.878337e+52 10.799684 13.916554 4.24643 145.936206 227.491746 22.918181
0.151 9.058242e+52 8.954812999999999e+52 3.8543099999999997e+52 10.82508 13.917032 4.246888 149.563339 227.739116 22.909384
0.152 9.239845000000001e+52 9.017518000000001e+52 3.8553999999999997e+52 10.775137 13.961749 4.252133 144.746795 229.226455 22.995073
0.153 9.494878e+52 9.18533e+52 3.869669e+52 10.764629 13.950833 4.250152 146.133069 228.858683 22.935493
0.154 9.294017999999999e+52 9.152974e+52 3.905971e+52 10.69997 13.891293 4.238763 141.039622 227.245304 22.786269
0.155 9.507648e+52 9.170233e+52 3.8909729999999997e+52 10.759686 13.886903 4.242235 145.889074 227.035339 22.851422
0.156 9.540813999999999e+52 9.170280999999999e+52 3.8982369999999997e+52 10.717709 13.855934 4.25008 141.712169 226.056681 22.916456
0.157 9.70635e+52 9.266501999999999e+52 3.907895e+52 10.724671 13.849408 4.236252 143.388716 225.900647 22.772381
0.158 9.473948e+52 9.292168999999999e+52 3.878382e+52 10.759631 13.840615 4.223313 142.552041 225.736426 22.66882
0.159 9.148101000000001e+52 9.223235e+52 3.818524e+52 10.864539 13.819267 4.227703 146.075701 225.038154 22.742132
0.16 9.020951e+52 9.204264999999999e+52 3.783106e+52 10.904403 13.789259 4.223438 146.293766 223.873284 22.685627
0.161 8.975629e+52 9.19787e+52 3.784549e+52 10.902815 13.763402 4.206618 147.940752 223.232146 22.52601
0.162 8.912335000000001e+52 9.178575999999999e+52 3.787646e+52 10.918907 13.803068 4.207457 147.951308 224.647819 22.552971
0.163 8.818602999999999e+52 9.003649e+52 3.793461e+52 10.956648 13.884308 4.22452 149.96173 227.288326 22.703971
0.164 8.72003e+52 8.806838000000001e+52 3.763573e+52 11.02007 13.964829 4.231099 152.198263 229.857489 22.780448
0.165 8.685325000000001e+52 8.756364e+52 3.710014e+52 11.00494 13.941406 4.222604 149.262193 228.870679 22.725093
0.166 8.626895e+52 8.925198999999999e+52 3.716324e+52 11.075949 13.868259 4.219544 153.107748 226.355882 22.706354
0.167 8.858439999999999e+52 9.089359e+52 3.712038e+52 11.098588 13.820236 4.212544 152.938157 224.702877 22.636416
0.168 8.915297999999999e+52 9.123239e+52 3.691878e+52 11.013244 13.763373 4.200767 150.494811 223.144913 22.539438
0.169 8.886329999999999e+52 9.151912e+52 3.741921e+52 10.933856 13.751655 4.204194 147.710092 223.027843 22.560427
0.17 8.748139999999999e+52 8.984344e+52 3.736102e+52 10.925441 13.773542 4.203755 150.236388 223.968499 22.543029
0.171 8.556297999999999e+52 8.759807999999999e+52 3.722825e+52 10.936208 13.820718 4.210756 148.176822 225.61251 22.588497
0.172 8.4282e+52 8.570923000000001e+52 3.6804619999999996e+52 11.020435 13.891267 4.223865 151.773241 227.840409 22.72092
0.173 8.263413999999999e+52 8.451864e+52 3.612358e+52 11.078625 13.959719 4.20933 151.548017 229.818928 22.619651
0.174 8.575203999999999e+52 8.689633000000001e+52 3.6158760000000003e+52 11.123539 14.026963 4.222522 155.22054 231.671404 22.765624
0.175 8.941801e+52 8.913799e+52 3.697981e+52 11.092253 14.063334 4.248088 152.460508 232.775572 22.986956
0.176 8.991110000000001e+52 8.870167999999999e+52 3.770087e+52 11.067012 14.071292 4.250898 151.774196 233.075943 22.981199
0.177 9.087222000000001e+52 8.686954e+52 3.81111e+52 11.097465 14.137043 4.266729 154.308484 235.422179 23.09394
0.178 9.106453999999999e+52 8.561422000000001e+52 3.828778e+52 11.081437 14.204035 4.287946 155.305332 237.848856 23.325224
0.179 9.31264e+52 8.590104e+52 3.875944e+52 11.079849 14.339117 4.309763 153.767182 242.628902 23.594796
0.18 9.30081e+52 8.709471000000001e+52 3.924232e+52 11.098306 14.43032 4.321341 154.538257 245.192737 23.74927
0.181 9.226981999999999e+52 8.648187999999999e+52 3.9297230000000003e+52 11.153144 14.477804 4.33909 154.546513 246.579147 23.94185
0.182 9.223756e+52 8.666031999999999e+52 3.8817129999999997e+52 11.247223 14.515297 4.36768 156.583722 247.370034 24.321651
0.183 9.283996e+52 8.945661e+52 3.916323e+52 11.369624 14.547019 4.400678 162.064565 248.387978 24.673899
0.184 9.488756000000001e+52 9.108933000000001e+52 3.954825e+52 11.372773 14.54551 4.403727 160.704116 248.879368 24.622439
0.185 9.475868999999999e+52 9.190133e+52 3.973553e+52 11.403374 14.575855 4.401109 162.194036 250.235835 24.536492
0.186 9.347571e+52 9.134181e+52 3.959719e+52 11.396519 14.565891 4.389363 160.69486 249.984151 24.394396
0.187 8.958979e+52 8.894123e+52 3.878076e+52 11.292907 14.441777 4.347863 160.67391 245.590974 23.946122
0.188 8.700943000000001e+52 8.708835e+52 3.803805e+52 11.238435 14.364146 4.304674 158.708233 243.056529 23.492072
0.189 8.781802999999999e+52 8.794988e+52 3.7439919999999997e+52 11.218268 14.333285 4.293897 156.741877 241.895848 23.384527
0.19 9.076746999999999e+52 9.011001999999999e+52 3.750312e+52 11.223489 14.309331 4.29264 156.297741 240.975384 23.398849
0.191 9.116001000000001e+52 9.185943e+52 3.755571e+52 11.293894 14.272856 4.281044 159.492922 239.840869 23.295433
0.192 9.130280000000001e+52 9.167648e+52 3.742426e+52 11.316196 14.246787 4.279628 159.185145 239.222628 23.314455
0.193 9.032401e+52 8.882261e+52 3.725937e+52 11.292969 14.226162 4.279351 159.685764 239.245651 23.369369
0.194 9.023263e+52 8.689377e+52 3.710876e+52 11.278674 14.243001 4.293399 159.597089 240.468915 23.571544
0.195 9.322666999999999e+52 8.792319000000001e+52 3.730824e+52 11.425224 14.36937 4.293441 164.567759 245.131874 23.570545
0.196 9.740178e+52 9.158094e+52 3.7621600000000003e+52 11.583071 14.492939 4.303319 169.812385 248.724513 23.659684
0.197 1.0139415e+53 9.633693e+52 3.849408e+52 11.687584 14.594852 4.333808 171.655609 251.140562 23.95913
0.198 1.0167107e+53 9.64603e+52 3.843173e+52 11.707709 14.588532 4.340005 173.053333 250.703228 24.018193
0.199 9.905921e+52 9.44017e+52 3.859684e+52 11.675563 14.67058 4.359353 172.478992 253.202378 24.176475
0.2 9.526057e+52 9.221367000000001e+52 3.8813209999999996e+52 11.675527 14.712641 4.359503 170.907078 254.421059 24.141256
0.201 9.191090000000001e+52 8.850414999999999e+52 3.867653e+52 11.720623 14.665475 4.360753 174.158406 253.071857 24.19954
0.202 9.062507999999999e+52 8.772078999999999e+52 3.791057e+52 11.709221 14.635593 4.339482 169.896239 252.239666 24.053886
0.203 9.404875999999999e+52 9.027706e+52 3.770215e+52 11.710736 14.74041 4.380159 170.262646 255.934252 24.549688
0.204 1.0237705e+53 9.664206999999999e+52 3.87707e+52 11.788214 14.773956 4.392678 170.864398 256.814021 24.646206
0.205 1.0459217000000001e+53 1.0063126e+53 3.9835720000000003e+52 11.822615 14.792005 4.39033 171.677286 257.27636 24.654554
0.206 1.0320351e+53 1.0103894e+53 4.0318440000000006e+52 11.727427 14.682852 4.385011 169.883987 253.291033 24.536836
0.207 1.0232216e+53 1.0048341e+53 4.037692e+52 11.633803 14.635538 4.367868 167.994556 252.109568 24.374711
0.208 1.0236646000000001e+53 1.0025309e+53 4.003813e+52 11.637818 14.576402 4.376577 167.365443 250.351913 24.50609
0.209 9.645495e+52 9.959419999999999e+52 3.924785e+52 11.591923 14.460417 4.386441 166.348402 246.075736 24.612169
0.21 9.883682999999999e+52 9.922688e+52 3.885745e+52 11.782121 14.48388 4.360308 170.739346 247.859707 24.319411
0.211 9.332727e+52 9.724366e+52 3.730191e+52 11.720312 14.346848 4.338784 170.053602 242.762467 24.179546
0.212 9.348617000000001e+52 9.791054e+52 3.68886e+52 11.732195 14.409354 4.33105 170.590698 244.982536 24.166408
0.213 9.153031000000001e+52 9.608587e+52 3.6908270000000003e+52 11.687912 14.332794 4.323968 169.391665 242.621439 24.075495
0.214 9.507052e+52 9.710372e+52 3.723838e+52 11.715683 14.470475 4.340814 170.816621 247.370196 24.219288
0.215 9.350426e+52 9.583225000000001e+52 3.76774e+52 11.725339 14.499353 4.341802 171.603402 247.740519 24.105312
0.216 9.571142999999999e+52 9.531172e+52 3.881879e+52 11.766453 14.672354 4.363862 171.083075 254.389943 24.341536
0.217 9.197731e+52 9.265877e+52 3.82474e+52 11.864874 14.595427 4.344936 177.184513 252.422016 24.177506
0.218 8.827232e+52 8.888522999999999e+52 3.7455099999999996e+52 11.819457 14.57042 4.332192 178.503422 251.574231 24.191446
0.219 8.364062999999999e+52 8.495656000000001e+52 3.5739329999999996e+52 11.842691 14.616845 4.326481 177.94791 253.282735 24.201054
0.22 8.719607e+52 8.761863999999999e+52 3.564023e+52 11.878092 14.614942 4.330548 174.486185 252.14685 24.204144
0.221 9.056043e+52 9.170228e+52 3.635143e+52 11.816178 14.575808 4.345471 175.616768 251.052004 24.35276
0.222 9.235227e+52 9.212514000000001e+52 3.684799e+52 11.764328 14.622883 4.348514 174.644184 252.301667 24.259086
0.223 9.555172999999999e+52 9.412452999999999e+52 3.780684e+52 11.694992 14.642837 4.348166 172.183799 252.335622 24.280958
0.224 9.906275000000001e+52 9.812881e+52 3.790506e+52 11.791212 14.741387 4.390346 172.811343 255.370142 24.767179
0.225 1.032386e+53 1.0124744e+53 3.80984e+52 12.016219 14.796803 4.425033 179.693995 257.164615 25.079968
